KEY,BK_AC_TYPE_ID,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,CALC_RETURN_CODE,TINV,S,N,X_BAR,SXX,E,ERROR_TYPE,MASS_RATIO,ERROR_RATE_FUEL_PER_NM,AO_FUEL_VERSION_ID,CREA_DATE,CREA_NOTE,VALID_FROM,VALID_TO
BLCF----,3330,BLCF,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,385035.8393,0,999999,0,2566.013193,20.38949032,1.159,,,,,,,,,,,5.1,,,,
BSTP----,1066,BSTP,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,7484.447087,0,999999,0,103.066195,1.189036341,1.159,,,,,,,,,,,5.1,,,,
C119----,578,C119,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,9070,0,999999,0,287.4449798,1.211900482,1.159,,,,,,,,,,,5.1,,,,
C123----,1564,C123,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,27215,0,999999,0,513.8101428,2.822191251,1.159,,,,,,,,,,,5.1,,,,
C125----,85,C125,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,18552,0,999999,0,405.7362157,2.053387232,1.159,,,,,,,,,,,5.1,,,,
C130----,579,C130,Turbo Prop,ANCAT WITH NEW MODEL,ANCAT,T,3.15,75137.78865,0,999999,0,429.7907273,7.356056659,1.159,,,,,,,,,,,5.1,,,,
C135----,1565,C135,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,137362.0836,0,999999,0,797.2568672,8.559584259,1.159,,,,,,,,,,,5.1,,,,
C141----,580,C141,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,144500,0,999999,0,848.2321298,8.900520181,1.159,,,,,,,,,,,5.1,,,,
C15----,1566,C15,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,98284,0,999999,0,518.1816482,6.693056024,1.159,,,,,,,,,,,5.1,,,,
C160----,1074,C160,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,50148.79543,0,999999,0,352.8588427,4.755041871,1.159,,,,,,,,,,,5.1,,,,
C17----,1567,C17,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,262328.7494,0,999999,0,1689.703385,14.52850056,1.159,,,,,,,,,,,5.1,,,,
C2----,1077,C2,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,25205,0,999999,0,206.8170784,2.670169703,1.159,,,,,,,,,,,5.1,,,,
C212----,92,C212,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,7005.525777,0,999999,0,100.2621905,1.149006759,1.159,,,,,,,,,,,5.1,,,,
C25B----,1975,C25B,"Jet <43,3T",AO SAMPLE,C25B,J,3.15,6134.635227,0,999999,0,255.021045,0.956807156,1.159,,,,,,,,,,,5.1,,,,
C25C----,3310,C25C,"Jet <43,3T",AO EQV,C550,J,3.15,7605,0,999999,0,245.8787101,1.154454978,1.145724233,,,,,,,,,,,5.1,,,,
C27J----,587,C27J,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,31352.82843,0,999999,0,242.8115891,3.184022393,1.159,,,,,,,,,,,5.1,,,,
C295----,1080,C295,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,21851.22304,0,999999,0,187.1812734,2.389851647,1.159,,,,,,,,,,,5.1,,,,
C30J----,94,C30J,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,72314.39347,0,999999,0,482.6347245,6.607704533,1.159,,,,,,,,,,,5.1,,,,
C46----,1577,C46,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,25400,0,999999,0,491.1673889,2.661117801,1.159,,,,,,,,,,,5.1,,,,
C5----,98,C5,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,330367.6071,0,999999,0,2175.601293,17.77831317,1.159,,,,,,,,,,,5.1,,,,
C550----,593,C550,"Jet <43,3T",AO SAMPLE,C550,J,3.15,6637.72292,0,999999,0,245.8787101,1.154454978,1.159,,,,,,,,,,,5.1,,,,
C551----,1086,C551,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,5779.839771,0,999999,0,246.3990908,0.919912902,1.159,,,,,,,,,,,5.1,,,,
C55B----,3408,C55B,"Jet <43,3T",AO EQV,C550,J,3.15,6818.818662,0,999999,0,245.8787101,1.154454978,1.027282811,,,,,,,,,,,5.1,,,,
C560----,1579,C560,"Jet <43,3T",AO SAMPLE,C560,J,3.15,7340.581043,0,999999,0,242.5794591,1.298154324,1.159,,,,,,,,,,,5.1,,,,
C56X----,100,C56X,"Jet <43,3T",AO SAMPLE,C56X,J,3.15,9242.088978,0,999999,0,332.802608,1.307186342,1.159,,,,,,,,,,,5.1,,,,
C5M----,3498,C5M,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,348480,0,999999,0,2304.950523,18.64343473,1.159,,,,,,,,,,,5.1,,,,
C650----,594,C650,"Jet <43,3T",AO SAMPLE,C650,J,3.15,10147.35951,0,999999,0,338.094087,1.571502018,1.159,,,,,,,,,,,5.1,,,,
C680----,1087,C680,"Jet <43,3T",AO SAMPLE,C680,J,3.15,13582.59085,0,999999,0,276.229828,1.736277552,1.159,,,,,,,,,,,5.1,,,,
C68A----,3436,C68A,"Jet <43,3T",AO SAMPLE,C68A,J,3.15,14045,0,999999,0,437.7602155,1.665645063,1.159,,,,,,,,,,,5.1,,,,
C700----,3472,C700,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",J,3.15,17405,0,999999,0,391.4269932,1.951595911,1.159,,,,,,,,,,,5.1,,,,
